Subject ,Complaint Number,Province,"Municipality / 
City",Barangay,Sitio,Longitude,Latitude,"Google Map Link
(Location Point)",Nature of Reported Illegal Act,Type of Commodity (Non-metallics),Actions Taken,Details ,"Date of
Action Taken (mm/dd/yyyy)",Laws Violated,No. of CDO Issued,Date Issued (mm/dd/yyyy),Remarks
"Alleged illegal land development and ground preparation for a private agri-residential house project at Sitio Jordan, Barangay San Vicente, Sto. Tomas City, Batangas",MMD-IMC No. 2025-22,Batangas,Sto. Tomas,San Vicente,Jordan ,121.194508°,14.102561°,"https://www.google.com/maps/search/?api=1&query=14.102561,121.194508",Illegal Transport/Export of Minerals/Products/By-Products,Earth Materials,Conducted Investigation,"1. The investigation confirmed that the illegal land development and ground preparation activities resumed despite the Cease-and-Desist Order (CDO) issued on 2022. 

2. During the field inspection, the team observed heavy equipment tracks, recent disturbance of the area, and a visible stockpile of materials indicating ongoing operations. It was also found that the area had not been restored in accordance with the CDO Certificate No. 66832 and EAC Code: 36, issued on August 11, 2022, which required the operator, Engr. Romulo M. Meer, to rehabilitate the property within 30 days of receipt. 

3. Further verification with the City Environment and Natural Resources Office of Sto. Tomas City, and Provincial Government Environment and Natural Resources Office of Batangas confirmed that no new permits had been issued for the project, making the continued operations illegal. Additionally, photographic evidence from 08 March 2025 , showed the transport of earth materials, further confirming the ongoing unauthorized land development activities and disposal of earth materials.    ",3/19/2025,Theft of Minerals (Section 103 of RA 7942),0,NA,"Letters dated 4/2/2025 to City Government of Sto. Tomas, Provincial Government of Batangas, and National Bureau of Investigation"
"Alleged illegal mining activity in Brgy. Liyang, Siniloan, Laguna",MMD-IMC No. 2025-23,Laguna,Siniloan,Liyang,ND,121.487672°, 14.464255°,"https://www.google.com/maps/search/?api=1&query=14.464255,121.487672",Not Illegal Mining,Not Applicable,Conducted Investigation,"Aconcrete square pit measuring 6x6 feet and approximately 150ft in depth was observed on site, which appeared abandoned, as indicated by cobwebs and stagnant water at the bottom. In an interview with Mr. Ramil San Juan, who introduced himself as the caretaker of the subject area, he admitted that treasure hunting activity was undertaken until 2022, and claimed that  no valuable items were retrieved from the site.",11/12/2024,Not Applicable,NA,NA,Letter dated 4/4/2025 to the National Commission for Culture and the Arts
"Alleged illegal quarrying operations at Sitio Cayuma, Brgy. Cawayan I, San Francisco, Quezon",MMD-IMC No. 2025-24,Quezon,San Francisco,Cawayan I,Cayuma,122.517025°,13.356596°,"https://www.google.com/maps/search/?api=1&query=13.356596,122.517025",Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,"Mr. Venancio Palma, Jr. is conducting quarrying activities within the said barangay, without the pertinent permit or authority from government agency(ies) concerned.",12/11/2024,Theft of Minerals (Section 103 of RA 7942),1,4/4/2025,"Cease and Desist Order dated 4/4/2025 to Mr. Venancio Palma, Jr.

Monitoring Report dated 5/19/2025 from CENRO Catanauan, wherein it was found that no recent or active mining-related activities were undertaken within the vicinity"
"Alleged encroachment of the quarry of Mr. John Andrae V. Umandal in the Bayudbud River in Brgy. Bayudbud, Tuy, Batangas",MMD-IMC No. 2025-25,Batangas,Tuy,Bayudbud,ND,120.731873°,14.064566°,"https://www.google.com/maps/search/?api=1&query=14.064566,120.731873",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"1. Whilst the operation is covered by Commercial Sand and Gravel Permit (CSAGP) No. CSAG-03-24 issued on 19 June 2024 by the Provincial Government of Batangas to Mr. John Andrae V. Umandal, for the extraction and disposal of sand and gravel within a 1.9998-hectare permit area in Barangay Banilad, Nasugbu, Batangas, it was found that the actual area of operation falls outside the boundaries of the Permit Area, in violation of Section 79.b. of Department of Environment and Natural Resources Administrative Order (DAO) No. 2010-21; and

2. No boundary markers were established in the perimeter of the permit area as stipulated in Section 79.b. of DAO No. 2010-21.",3/14/2025,Theft of Minerals (Section 103 of RA 7942),1,4/4/2025,"Cease and Desist Order dated 4/4/2025 to Mr. John Andrae V. Umandal; Letter dated 4/4/2025 to the Provincial Government of Batangas

Monitoring Report dated 4/30/2025 from CENRO Calaca wherein it was confirmed that plotting of TDs from the CSAG Permit and the coordinates from the ECC shows that the operations are outside the permitted area

Letter-Response dated 5/2/2025 from Mr. Umandal claiming that (a) a certain Alvin Calingasan was the one who is conducting illegal sand and extraction activity, and (b) a typographical error on the tie point was noted in his CSAGP vis-a-vis submitted Sketch Plan and Work Program to PG-ENRO/PMRB

Letter-Reply dated 5/26/2025 to Mr. Umandal.

Letter dated 6/23/2025 to Provincial Governor endorsing the Memorandum dated 5/15/2025 from CENRO Calaca in relation to the technical conference discussing the verification results for the technical descriptions stipulated in CSAGP and ECC of Mr. Umandal"
"Alleged illegal quarrying in Brgy. Tambo Ilaya, Sta. Teresita, Batangas",MMD-IMC No. 2025-26,Batangas,Santa Teresita,Tambong Ilaya,ND,120.970865°,13.894211°,"https://www.google.com/maps/search/?api=1&query=13.894211,120.970865",Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,"1. Mr. Anthony Mendoza has been extracting and commericially disposing of filling materials since June of 2024 in a 0.41-hectare property of Mr. Victor Gonzales. Mr. Pedro Gonzales, father of Mr. V. Gonzales, allowed the said activity.

2. The subject activity is without a valid permit or authority, and clearance from government agencies concerned.

3. The area also falls within the Taal Volcano Protected Landscape.",11/20/2024,Theft of Minerals (Section 103 of RA 7942),0,NA,"Letter dated 4/14/2025 to Protected Area Management Office - Taal Volcano Protected Landscape; Cease and Desist Order dated Mr. Anthony Mendoza, and Letter-Warning dated 4/14/2025 to Mr. Pedro Gonzales"
"Alleged illegal mining activity in Brgy. Villa Jesus Weste, Alabat, Quezon",MMD-IMC No. 2025-27,Quezon,Alabat,Villa Jesus Weste ,ND,122.012222°,14.098611°,"https://www.google.com/maps/search/?api=1&query=14.098611,122.012222",Illegal Quarrying(Non-Metallic)/SAG Extraction,River Sand Materials,Conducted Investigation,"1. Illegal river sand extraction along Pinagdulangan River in Barangay Villa Jesus Weste, Alabat, Quezon was verified by the personnel of Community Environment and Natural Resources Office (CENRO) of Calauag and Philippine National Police - Alabat Municipal Station (PNP Alabat for brevity).

2. Said personnel from CENRO Calauag and PNP Alabat were able to seize a drop-side truck, filled with around eight cubic meters of river sand materials, with Plate No. POO 716.

3. Nine individuals were named by PNP Alabat as the perpertrators of said illegal activity.

4. In an interview with Hon. Kristian De Leon, Barangay Chairman of Villa Jesus Weste, he admitted to have planned to utilize the river sand materials to repair the damaged roadways within the said barangay and to having correspondence with the perpetrators regarding the matter, albeit, he claimed that he did not instruct the same to conduct the subject activity.",3/10/2025,Theft of Minerals (Section 103 of RA 7942),9,4/7/2025,"Cease and Desist Order dated 4/7/2025 to Messrs. Jorlan O. Bueta, Arvie Z. Layosa, John Albert M. Zabala, Jimmy M. Ayora, John Paul I. Montierde, John Raeven A. Loterte, Jovito F. Sarmiento, Genelito T. Seba, and Bernard T. Sarmiento; Letter-Warning dated 4/7/2025 to Hon. Kristian De Leon

Memorandum dated 5/26/2025 from DENR 4A providing information on the current status of the confiscated Isuzu Drop-Side Truck, and informing this Office that PMRB Quezon issued a directive stating that the said conveyance would be granted to Mr. Aldin Bundalian upon payment of PhP5,000.00 (Conveyance was released on 3/24/2025)"
"Alleged illegal quarrying in Brgy. Ibabang Palsabangon, Pagbilao, Quezon",MMD-IMC No. 2025-28,Quezon,Pagbilao,Ibabang Palsabangon,ND,NA,NA,"https://www.google.com/maps/search/?api=1&query=13.989167,121.7175",Not Illegal Mining,Not Applicable,Conducted Investigation,"1. The Provincial Mining Regulatory Board of Quezon attested that no quarry operation was under Hon. Mayor Angelica ""Gigi"" Portes, Alleged Operator of the purported quarrying activity in Barangay Ibabang Palsabangon, Municipality of Pagbilao, Province of Quezon.

2. Hon. Mayor Portes denied the allegation regarding her involvement in any quarrying activity in the subject area.

3. Due to the lack of specific details reagrding the location mentioned in the complaint, it is challenging for the Investigating Team to identify the exact quarrying operation in question. ","3/26/2025 - 
3/27/2025",Not Applicable,NA,NA,Memorandum dated 4/7/2025  to DENR Action Center/Hotline
"Alleged quarrying activity resulting in the destruction of a barangay road and buildup mud and sludge in Brgy. Ibabang Palsabangon, Pagbilao, Quezon",MMD-IMC No. 2025-29,Quezon,Pagbilao,Ibabang Palsabangon,ND,121.7175°,13.989167°,"https://www.google.com/maps/search/?api=1&query=13.989167,121.7175",Not Illegal Mining,Not Applicable,Conducted Investigation,"1. An elevated area in the said barangay is being developed as a diversion road since the barangay road will be renovated. The mud and sludge, induced by series of  rainfalls and exacerbated by the overflowing of earth materials from hauling trucks, covering around 100 meters of the barangay road are from the said elevated area. The affected road poses risk and inconvenience to the residents/passersby.

2. The purported quarrying activities in the area are apparently leveling activities owned by Mr. Rodel E. Luzadas and Mr. Apollo C. Portes with Mr. Gilbert Cerrudo/ New Marigil Construction and Construction Supplies as their contractor. 

3. In an interview with a personnel of Mr. Cerrudo, he mentioned that he is maintaining the road due to series of rainfalls that caused some portions/materials of the aforementioned elevated area to flow along the road and that the said road should be maintained daily so as vehicles can pass through.",1/17/2025,Not Applicable,NA,NA,Letter dated 4/14/2025 to the Municipal Government of Pagbilao
"Alleged illegal sand extraction for hollow block production in Brgy. Bislian, Polillo, Quezon",MMD-IMC No. 2025-30,Quezon,Polillo,Bislian,ND,NA,NA,"https://www.google.com/maps/search/?api=1&query=14.350657,120.840301",Not Illegal Mining,Not Applicable,Conducted Investigation,"1. No visible stockpiles of sand, excavation sites, or equipment related to sand extraction were found in the reported area. 

2. Barangay Chairman Sanel D. Ayura stated that he was unaware of any illegal sand extraction taking place within Barangay Bislian. He clarified that any hollow blocks found in the area were likely intended for personal house construction rather than commercial or large-scale production. ",3/5/2025,Not Applicable,NA,NA,Letter dated 4/14/2025 to Barangay Local Government Unit of Bislian
"Alleged illegal soil dumping activity in Brgy. Panikihan, Gumaca, Quezon",MMD-IMC No. 2025-31,Quezon,Gumaca,Panikihan,ND,122.14083333°,13.91083333°,"https://www.google.com/maps/search/?api=1&query=13.91083333,122.14083333",Not Illegal Mining,Not Applicable,Conducted Investigation,"1. Although there was no ongoing dumping activity at the time of inspection, evidence suggests that dumping had previously occurred, as indicated by the presence of a backhoe in the area.

2. Riprap structures are already present in the area, however, this activity was not reported to the Barangay Officials.

3. A meander scar is present in the area, indicating that it was once the former passageway of the river. However, this meander scar has now been filled with soil and a few coconut trees. The Investigating Team construed that such occurrences happen naturally in river systems, especially in the absence of riprap structures. Additionally, factors such as erosion, deposition, and water source availability significantly contribute to the same. 

4. The area in question is indeed within the property of Engr. Rodolfo Lingayo, as evidenced by the plotting conducted by CENRO Calauag, which corresponds to the lot number indicated in the presented Deed of Sale.",3/14/2025,Not Applicable,NA,NA,Letter dated 5/2/2025 to Municipal Government of Gumaca; Letter dated 5/2/2025 to Complainant; Memorandum dated 5/2/2025 to EMB RO No. IV CALABARZON
"Alleged illegal quarry operation in Brgy. Sahud-Ulan, Tanza, Cavite",MMD-IMC No. 2025-32,Cavite,Tanza,Sahud-Ulan,ND,120.840301°,14.350657°,"https://www.google.com/maps/search/?api=1&query=14.350657,120.840301",Illegal Transport/Export of Minerals/Products/By-Products,Not Specified,Conducted Investigation,"1. The Environment and Mining Unit of PENRO Cavite conducted on-site photographic survey and drone surveillance to verify the extent of the alleged illegal quarry operation, while the Surveillance Intelligence and Investigation Unit of the same office conducted roadside surveillance to monitor the movement of both loaded and empty dump trucks on operation's entry point along Sahud-Ulan Road. 

2. Upon arrival at the area, the Investigating Team observed substantial dust accumulation which resulted from the continuous movement of heavy equipment dump trucks, corroborating reports of severe dust exposure and respiratory health issues within the community. 

3. Initial coordination with the Provincial Mining Regulatory Board (PMRB) confirmed that no quarry permit was issued for the Municipality of Tanza, Cavite. ",3/27/2025,Illegal Transport (Section 110 of RA 7942),0,NA,Letters-Order dated 4/22/2025 to Messrs. Philip Manela and Edu Chua; Letter dated 4/22/2025 to the Provincial Government of Cavite; Letter dated 4/22/2025 to Complainant; Memorandum dated 4/22/2025 to EMB RO No. IV CALABARZON 
"Alleged illegal quarrying operations in Brgy. Nagtaluntong, Lobo, Batangas",MMD-IMC No. 2025-33,Batangas,Lobo,Nagtaluntong,ND,121.232501°,13.663202°,"https://www.google.com/maps/search/?api=1&query=13.663202,121.232501",Not Illegal Mining,Not Applicable,Conducted Investigation,"1. Engr. Neil Hanzer de Silva and Engr. Christian Bagsit, Project Engineers from the Department of Public Works and Highways (DPWH) Batangas 2nd District Engineering Office (DEO), clarified that the activity in question was not quarrying. Instead, it was part of flood mitigation and flood control structure construction projects under DPWH, with Efren Ramirez Construction and General Services Corporation (ERC-GSC) and Revere Construction & Supply Corporation (RCSC) as contractors.

2. When questioned about the trucks observed in a video provided, which appeared to be transporting sand from the Lobo River, local residents confirmed seeing trucks. Some of these trucks seemed to be used for personal purposes, while others were transporting materials to the adjacent riverbank land.

3. When questioned about the excavation activities, Engr. Ivan Casao, Civil Engineer from the Construction Unit of ERC-GSC, explained that the use of excavators to extract river materials was necessary for creating a temporary barrier to manage water flow and ensure the integrity of the construction process. This technique was also intended to redirect the river's flow during the project's construction phase.

4. Notably, both the ERC-GSC and RCSC have valid contracts with DPWH Batangas 2nd DEO as contractors for the ongoing flood mitigation structure construction project in Brgy. Nagtaluntong, Lobo, Batangas. 
",2/11/2025,Not Applicable,NA,NA,"Letter dated 2/21/2025 to the Department of Public Works and Highways - Batangas II District Engineering Office; Memorandum dated 2/21/2025 to the Undersecretary for Field Operations – Luzon, Visayas and Environment; Letter dated 2/21/2025 to Efren Ramirez Construction and General Services Corporation "
"Alleged illegal mining operations near the  quarry area of Natanauan Constructions (QP-LAG-018) in Brgy. Hornalan, Calamba City, Laguna",MMD-IMC No. 2025-34,Laguna,Calamba,Hornalan,ND,121.056058°,14.159634°,"https://www.google.com/maps/search/?api=1&query=14.159634,121.056058",Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,"1. The Investigating Team encountered an empty dump truck suspected to have come from the illegal operating area.

2. No earth moving operations were observed upon arrival at the area.

3. One yellow backhoe (CAT 320GC) was parked roughly 500 m away from the purported illegal operating area.

4. Fresh markings and excavations were also observed in the operating area. ",1/24/2025,Theft of Minerals (Section 103 of RA 7942),NA,NA,Letter dated 4/23/2025 to the National Bureau of Investigation
"Possible extraction and disposition of soil in Eliza Homes Subdivision, Brgy. Molino IV, Bacoor, Cavite",MMD-IMC No. 2025-35,Cavite,Bacoor,Molino IV,ND,120.982999°,14.380068°,"https://www.google.com/maps/search/?api=1&query=14.380068,120.982999",Illegal Transport/Export of Minerals/Products/By-Products,Filling Materials,Conducted Investigation,"1. Confirmed movement of dump trucks within the subdivision.

2. The subdivision management representative refused to provide definitive answers regarding the potential soil extraction activities or the presence of necessary permits, citing an ongoing expansion project aimed at mitigating local flooding. 

3. Access to the alleged extraction site was limited during the inspection, and no active soil extraction was observed at the time of inspection. ",3/27/2025,Illegal Transport (Section 110 of RA 7942),NA,NA,"Letter dated 4/23/2025 to the Provincial Government of Cavite; Letter dated 4/23/2025 to the Local Government Unit of Bacoor, Cavite"
"Alleged illegal transport of sand and gravel by Mr. Melanio Lim in Brgy. Del Pilar, Quezon, Quezon",MMD-IMC No. 2025-36,Quezon,Quezon,Del Pilar,ND,122.10888889°,14.09583333°,"https://www.google.com/maps/search/?api=1&query=14.09583333,122.10888889",Illegal Transport/Export of Minerals/Products/By-Products,Sand and Gravel,Conducted Investigation,"1.        Mr. Melanio A. Lim transported sand and gravel stockpiles from his expired Industrial Sand and Gravel Permit, without securing the necessary permit for transport. 

2.        During an interview, Mr. Lim averred that he had received verbal approval from the Provincial Mining Regulatory Board (PMRB) of Quezon to collect and transport the leftover sand and gravel stockpiles from his previous operation.

3.        In a phone call with an employee of PMRB Quezon, it was confirmed that such approval was granted. However, it has been noted by the Investigating Team that no official permit was issued to Mr. Lim.",2/18/2025,Illegal Transport (Section 110 of RA 7942),1,4/24/2025,Cease and Desist Order dated 4/24/2025 to Mr. Melanio Lim
"Alleged illegal sand extraction in Brgy. Taluong, Polillo, Quezon",MMD-IMC No. 2025-37,Quezon,Polillo,Taluong,ND,ND,ND,"https://www.google.com/maps/search/?api=1&query=14.351323,120.842244",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand,Conducted Investigation,"Messrs. Andy Panaglima and Trebor Torrano supervised the illegal extraction of sand in the said barangay, where stockpiles, extraction pits, and construction equipment and materials (such as concrete mixer, pickaxe, and steel bar) were observed within the subject area.",1/22/2025,Theft of Minerals (Section 103 of RA 7942),2,4/24/2025,Cease and Desist Orders dated 4/24/2025 to Messrs. Andy Panaglima and Trebor Torrano
"Alleged illegal quarrying activity in Barangay Paliparan, Calauan, Laguna",MMD-IMC No. 2025-38,Laguna,Calauan,Paliparan,ND,121.287218°,14.119424°,"https://www.google.com/maps/search/?api=1&query=14.119424,121.287218",Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,"1. During the site investigation, Barangay Chairman Darlo C. Leus, Jr. stated that the quarry operation began around August 2024, and that the materials sourced from the area were being delivered to the ongoing Calauan Public Market project, a government infrastructure initiative. However, he also confirmed that no quarrying permits were secured from any authorized agency for these activities. 

2. Chairman Leus added that approximately 300 truckloads of materials had been delivered to the project. The quarry area is estimated to be around 1 hectare, and at the time of inspection, one backhoe/breaker (active), one additional backhoe, one wheel loader, and one dump truck were observed in the vicinity. ",4/2/2025,Theft of Minerals (Section 103 of RA 7942),0,NA,Letter dated 5/2/2025 to the Provincial Government of Laguna
"Alleged illegal sand extraction at Sitio Nilantangan, Brgy. Don Juan Vercelos, San Francisco, Quezon",MMD-IMC No. 2025-39,Quezon,San Francisco,Don Juan Vercelos,Nilantangan,122.51333333°,13.24083333°,"https://www.google.com/maps/search/?api=1&query=13.24083333,122.51333333",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand,Conducted Investigation,"Mr. Ernesto “Teteng” Pitogo was involved in the extraction of sand in the said barangay, approximately 180 meters from the shore, with the illegal activity commencing on 28 October 2024. No ongoing operation was observed, however, traces of previous sand extraction activity were evident, i.e., the presence of three excavation pits.",4/8/2025,Theft of Minerals (Section 103 of RA 7942),1,5/2/2025,"Cease and Desist Order dated 5/2/2025 to Mr. Ernesto Pitogo, Letter dated 5/2/2025 to Complainant

Monitoring Report dated 5/26/2025 from CENRO Catanauan, wherein it was found that no recent or active mining-related activities were undertaken within the vicinity"
"Investigation and apprehension of offenders and seizure of illegally-sourced minerals, equipment and conveyances in Brgy. Sahud-ulan, Tanza, Cavite",MMD-IMC No. 2025-40,Cavite,Tanza,Sahud-Ulan,ND,120.842244°, 14.351323°,"https://www.google.com/maps/search/?api=1&query=14.351323,120.842244",Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Enforcement Activity based on MGB MC 2018-01,"1. Illegal quarrying activities were being conducted in the 13-hectare property in Barangay Sahud Ulan, Tanza Cavite.

2. Twenty-one (21) units of backhoe excavator and 28  units of 10-wheeler dump truck were seized at the extraction site and along the access road. The said tools and conveyances are currently under the custody of the Barangay Local Government Unit of Sahud Ulan.

3. Thirteen (13) individuals were apprehended by the National Bureau of Investigation who were caught in flagrante delicto conducting illegal mining activities.

4. On 30 April 2025, a criminal case was filed before the Department of Justice against the said 13 individuals for violating Section 103 of Republic Act No. 7942, i.e., Theft of Minerals, and its Revised Implementing Rules and Regulations, DENR Administrative Order No. 2010-21, with Docket No. XVL INQ-25D-00056.
",4/29/2025,Theft of Minerals (Section 103 of RA 7942),13,5/6/2025,"Joint Judicial Afffidavit of Arrest was submitted on 4/30/2025 before the Department of Justice

Cease and Desist Orders dated 5/6/2025 to Messrs. Denis Marlou D. Maraasin, Arnel O. Laxamana, Junar M. Deticio, Rommel M. Gabriel, Alejandro G. Cubile, Jeffrey G. Lazaro,  Florante P. Salimbot,  Lavi C. Dubria, Victor P. Castillo, Marlon D. Villarino, Jeomel G. Garo, June G. Abesamis, and Mars H. Abraham

Letters dated 5/6/2025 to the Provincial Government of Cavite, Municipal Government of Tanza, and Barangay Government of Sahud Ulan

Memorandum dated 5/6/2025 to MGB Central Office

Monitoring Report dated 5/19/2025 of this Office wherein it was determined that 20 out of the 21 units of backhoe excavator and 27 out of the 28 units of 10-wheeler dump truck were removed from the more or less 13-hectare quarry site and its access road. Only the HOWO 10-wheeler dump truck with Plate Number NKF 6857 and the EC290BLC model of VOLVO backhoe excavator remained in the area

Letter dated 5/19/2025 to Land Transportation Office and Barangay Local Government Unit of Sahud Ulan re Results of Monitoring Activity

Judgment issued on 5/19/2025 by the Municipal Trial Court of Tanza wherein 10 out of 11 individuals pleaded guilty; As such, the same are directed to pay a fine in the amount of PhP10,000.00 each, with subsidiary imprisonment in case of insolvency

Letter dated 6/9/2025 from DILG 4A informing this Office that the matter was endorsed on 5/23/2025 to DILG - Cavite Provincial Director, with a directive to look into the matter and refer the same to the Punong Barangay concerned for his information, comment and appropriate action"
Alleged illegal mining activities within Mineral Production Sharing Agreement No. 347-2010-IVA of Ms. Roxanna S. Go,MMD-IMC No. 2025-41,Rizal,Teresa,ND,ND,121.244756°,14.587587°,"https://www.google.com/maps/search/?api=1&query=14.587587,121.244756",Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,"Mr. Joselito M. Delos Santos is conducting illegal quarrying operations, through its operator SVC – Superbuilt Construction, Inc.  within Parcel I of MPSA No. 347-2010-IVA without the pertinent permits needed for the operation.",4/24/2025,Theft of Minerals (Section 103 of RA 7942),2,5/7/2025,"Cease and Desist Orders dated 5/7/2025 to Mr. Joselito M. Delos Santos and SVC- Superbuilt Construction, Incorporated 

Letters dated 5/7/2025 to the Municipal Government of Teresa and Ms. Roxanna S. Go

Letter-Reply dated 06/19/2025 from Mr. Joselito M. Delos Santos re CDO"
"The demand for remediation of land damage in Brgy. Humayingan, Municipality of Lian, Province of Batangas - geotechnical and structural impact of excavation on adjacent land",MMD-IMC No. 2025-42,Batangas,Lian,Humayingan,ND,120.66485600°,13.996536°,"https://www.google.com/maps/search/?api=1&query=13.996536,120.664856",Not Illegal Mining,Not Applicable,Conducted Investigation,"1. During the site visit at the King and Three Queens Poultry Farm, Inc Project owned by Ms. Claire Magsino, the Investigating Team observed no activity/operation, machineries nor employees in the area corroborated by the statement of Atty. Mae Vernadel M. Malinay-Cenizal, Complainant, that the operation had long stopped since March 2025. In addition, no signage of Environmental Compliance Certificate from Environmental Management Bureau was posted in the area. Furthermore, a notable landslide occurrence in the boundary of the development project site and the adjacent private lands highlighting the unstable geologocal condition of the area which posed a geohazard risk for locals and workers in the vicinity. Despite the looming geohazard, no caution tape nor warning sign is installed near the danger zone/landslide area.",4/10/2025,Not Applicable,NA,NA,"Letter dated 5/20/2025 to LGU Lian, Batangas; Memorandum dated 5/20/2025 to EMB Region IV-A"
Assessment on the Compliance of Ms. Melliza Villanueva’s quarrying activity with the recommendations during the previous monitoring,MMD-IMC No. 2025-43,Quezon,Tagkawayan,Sta. Cecilia,ND,122.530833°,13.976111°,"https://www.google.com/maps/search/?api=1&query=13.976111,122.530833",Not Illegal Mining,Not Applicable,Conducted Investigation,"a. No active extraction was observed during the monitoring. However, silica/quartz washing were noticed during the inspection.

b. The team observed stockpiles of filling materials and sacks of silica/quartz stacked in a stockpile.

c. A mine trench is already present in the area, and these trenches are planned to be supported with geotextiles to filter silts and to prevent any fine and/or coarse materials from being discharged into any unauthorized zones.

d. During the inspection, settling ponds and siltation ponds were present and are undergoing further refinement.

e. Safety berms/barriers/embankments have been established around the stockyard area.

f. The Permit Holder is already in the process of constructing a mine bench to ensure slope integrity and prevent mine accidents.",3/11/2025,Not Applicable,NA,NA,"Memorandum dated 5/20/2025 to EMB RO No. IV CALABARZON

Memorandum dated 5/20/2025 to DENR RO No. IV CALABARZON

Letter dated 5/20/2025 to the Provincial Government of Quezon"
"Alleged illegal quarrying in Brgys. Lagyo and Liyang, Siniloan, Laguna (Lot 9115-A)",MMD-IMC No. 2025-45,Laguna,Siniloan,Lagyo & Liyang,ND,121.48500°,14.469167°,"https://www.google.com/maps/search/?api=1&query=14.469167,121.485",Not Illegal Mining,Not Applicable,Conducted Investigation,"1. The quarrying operation is covered by Quarry Permit No. QP-LAG-0061 (2nd Renewal) issued by the Provincial Government of Laguna to Ms. Cleobey Quintero Opelanio.

2. Ms. Opelanio explained that the land adjacent to her quarry site was recently surveyed, and she offered to facilitate a joint re-survey of the area with the Complainant in order to resolve any boundary or encroachment issues.

3. Despite repeated attempts to reach the Complainant for further discussions, calls and messages were unanswered, preventing any direct to dialogue to clarify her concerns or confirm her presence at the site.",4/10/2025,Not Applicable,NA,NA,Letter dated 6/2/2025 to the Provincial Government of Laguna
"Alleged illegal extraction and transport in Barangay Atulayan, Municipality of Polillo, Province of Quezon",MMD-IMC No. 2025-46,Quezon,Polillo,Atulayan,ND,121.947027°,14.706360°,"https://www.google.com/maps/search/?api=1&query=14.70636,121.947027",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand,Conducted Investigation,"The investigation finds that Mr. Jefferson A. Soltura engaged in repeated, unauthorized sand extraction and transport in Barangay Atulayan, Polillo, Quezon. These actions have caused significant environmental degradation and represent clear violations of mining laws and barangay regulations. His disregard for prior warnings and a sworn promise underscores the need for decisive enforcement measures. ",3/31/2024,Theft of Minerals (Section 103 of RA 7942),1,6/10/2025,Cease and Desist Order dated 6/11/2025 to Mr. Jefferson A. Soltura; Letter dated 6/11/2025 to National Bureau of Investigation; Letter dated 6/11/2025 to Complainant
"Alleged illegal land development and ground preparation in Barangay 03 Poblacion, Municipality of Calatagan, Province of Batangas",MMD-IMC No. 2025-47,Batangas,Calatagan ,Barangay 03 Poblacion  ,ND,120.64182°,13.82512°,"https://www.google.com/maps/search/?api=1&query=13.82512,120.64182",Illegal Transport/Export of Minerals/Products/By-Products,Filling Materials,Conducted Investigation,"Mr. June Sanggalang, Perpetuator and purported Owner of the property, was extracting and disposing filling materials evident by several stockpiles of the same observed in the approximately 0.5 hectare of total disturbed land in the subject area (Latitude: 13.82512o N, Longitude: 120.64182o E); presence of heavy equipment, i.e., one breaker, one excavator, and two empty dump trucks; and disposal of approximately 20 truckloads of filling materials as admitted during interview. With the primary purpose of leveling the area in preparation for a batching plant construction, Mr. Sanggalang failed to present the pertinent Certification/Permit, i.e., Land Development and Ground Preparation Permit from the Municipal Government of Calatagan, Batangas.",6/26/2025,Illegal Transport (Section 110 of RA 7942),1,7/14/2025,"Inspection Report dated 6/27/2025 from CENRO Calaca showing that upon conduct of joint operations, the team could not apprehend violators and seize conveyances/implements as no excavation/extraction and disposal activities and movement of heavy equipment were observed during the undertaking

Cease and Desist Order dated 7/14/2025 to Mr. June Sanggalang; Letter dated 7/14/2025 to the Municipal Government of Calatagan"
"Alleged excavation activities in Brgy. Milawid, Panukulan, Quezon",MMD-IMC No. 2025-48,Quezon,Panukulan,Milawid,ND,121.838123°,14.929948°,"https://www.google.com/maps/search/?api=1&query=14.929948,121.838123",Not Illegal Mining,Filling Materials,Conducted Investigation,"1.	The facilities will be constructed within a property purchased by the Barangay Local Government Unit (BLGU) of Milawid from a certain “Susertesan P. Prudente” and her heirs;

2.	The proposed development activity currently has no permit or authority from government agency(ies) concerned;

3.	The BLGU has submitted a project plan to the Department of Public Works and Highways that is yet to be approved, and which is also a requirement for the issuance of a Development Permit/Excavation and Ground Preparation Permit from the Municipal LGU (MLGU) of Panukulan; and

4.	No active operation was observed by the Investigating Team during the inspection.
",4/29/2025,Not Applicable,NA,NA,"Letter dated 7/14/2025 to the BLGU of Milawid, Panukulan, Quezon"
